#NSGA2
popsize 100
maxGen 50
numVar 7
numObj 4
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 50
currentGen	1
evaluateCount	100
totalTime	3.13208
firstFrontCount	10
frontCount	4
avgEvalTime	0.0306342
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Obj1	Obj2	Obj3	Obj4	Cons1	Cons2	Cons3	
68.3762	52.2558	47.6554	5	15.7264	2565.38	0.0631099	-7.27998	-122.982	2.15729	2.10066	0	0	0	
73.2772	52.4759	47.4677	7	12.4702	1872.45	0.0893516	1	1	-1	-1	0	0	0	
73.3268	52.2732	49.7536	12	10.0499	2000.49	0.0562331	1	1	-1	-1	0	0	0	
73.1287	53.9976	45.8875	7	11.4124	1845.14	0.0549416	1	1	-1	-1	0	0	0	
72.9778	52.4853	46.4824	5	14.6038	2059.57	0.0771781	1	1	-1	-1	0	0	0	
78.4219	52.5906	48.6923	8	12.7266	1575.9	0.0712278	1	1	-1	-1	0	0	0	
73.3413	52.1001	46.5702	10	19.7322	2664.73	0.0575397	1	1	-1	-1	0	0	0	
66.3123	52.1689	49.2812	4	15.8781	1658.81	0.0888497	-9.12319	-116.268	2.17641	1.90624	0	0	0	
79.9801	53.764	49.8667	5	16.3738	2016.14	0.0531217	-5.73053	-80.6989	2.19278	1.81415	0	0	0	
74.8518	54.6152	46.7485	10	18.487	1852.35	0.0779116	1	1	-1	-1	0	0	0	
78.2521	53.326	46.1414	8	10.1691	1686.01	0.0974408	1	1	-1	-1	0	0	0	
74.881	54.9307	47.8773	5	19.9367	1728.83	0.0827098	-6.35767	-129.896	2.69332	1.59956	0	0	0	
76.3254	53.0775	45.9824	11	18.6915	1873.58	0.0837399	1	1	-1	-1	0	0	0	
65.0556	53.4355	48.4898	7	12.5949	1692.8	0.0744929	1	1	-1	-1	0	0	0	
65.9988	53.1413	45.9701	9	12.1545	1605.89	0.0891921	1	1	-1	-1	0	0	0	
73.8506	53.3929	49.6236	6	9.84091	2471.84	0.0543749	1	1	-1	-1	0	0	0	
